aou,SPEC,term,Estimate,std.error,p.value
6360,BAWW,tmax:deltaED,-0.00488597,0.003757662,0.193508919
6360,BAWW,deltaED:tmin,-0.002176855,0.003618826,0.547482809
6390,WEWA,tmax,-0.001581894,0.005228795,0.762244129
6390,WEWA,deltaED,-0.015657553,0.005426849,0.003911633
6390,WEWA,tmin,0.000664008,0.005551735,0.904797128
6390,WEWA,deltaProp,-0.001431871,0.003945617,0.716678402
6390,WEWA,tmax:deltaED,-0.00269697,0.006694634,0.68705452
6390,WEWA,deltaED:tmin,0.00596196,0.007463166,0.424376582
6710,PIWA,tmax,-0.000459355,0.003589223,0.898163493
6710,PIWA,deltaED,0.001001207,0.00322772,0.75641639
6710,PIWA,tmin,-0.005585922,0.003664824,0.127458974
6710,PIWA,deltaProp,0.005460384,0.002704984,0.043524843
6710,PIWA,tmax:deltaED,6.57E-05,0.003776991,0.986125225
6710,PIWA,deltaED:tmin,-0.006294915,0.004129175,0.127384617
5950,RBGR,tmax,0.003847619,0.003411746,0.259422692
5950,RBGR,deltaED,-0.004525095,0.002800899,0.106183662
5950,RBGR,tmin,0.003115987,0.003109546,0.316309083
5950,RBGR,deltaProp,-0.00204101,0.003150938,0.517148705
5950,RBGR,tmax:deltaED,-0.00224796,0.003689795,0.542367233
5950,RBGR,deltaED:tmin,0.001049804,0.003229357,0.745119404
6840,HOWA,tmax,0.007641664,0.003899129,0.050014637
6840,HOWA,deltaED,0.000393491,0.003251379,0.903673107
6840,HOWA,tmin,-0.008072119,0.003805234,0.033894897
6840,HOWA,deltaProp,0.002635986,0.002841591,0.353592009
6840,HOWA,tmax:deltaED,-0.00154492,0.004131266,0.708435491
6840,HOWA,deltaED:tmin,-0.002159792,0.003971139,0.586529397
6590,CSWA,tmax,-0.004296011,0.004207261,0.307209683
6590,CSWA,deltaED,-0.000603153,0.003666535,0.869335901
6590,CSWA,tmin,-0.005523665,0.003671772,0.132488815
6590,CSWA,deltaProp,-0.000595051,0.003944615,0.880092877
6590,CSWA,tmax:deltaED,0.007661889,0.004240012,0.070755406
6590,CSWA,deltaED:tmin,-0.000561539,0.004051342,0.889761825
6290,BHVI,tmax,0.001942169,0.003988141,0.626268215
6290,BHVI,deltaED,0.003005543,0.003699847,0.416595126
6290,BHVI,tmin,-0.001348946,0.004621941,0.770395907
6290,BHVI,deltaProp,-0.0046062,0.003785352,0.223661781
6290,BHVI,tmax:deltaED,-0.00064705,0.003906251,0.868436449
6290,BHVI,deltaED:tmin,0.004266674,0.004358329,0.327594761
6760,LOWA,tmax,0.005251672,0.003333434,0.115151698
6760,LOWA,deltaED,-0.006661723,0.004240311,0.116171976
6760,LOWA,tmin,0.001244337,0.004010437,0.756352095
6760,LOWA,deltaProp,-0.002778441,0.003279319,0.396849489
6760,LOWA,tmax:deltaED,-0.006395569,0.003860448,0.097581996
6760,LOWA,deltaED:tmin,-0.002466844,0.006037204,0.682828091
4280,RTHU,tmax,-0.000369947,0.002564934,0.885316677
4280,RTHU,deltaED,-0.000556001,0.002181319,0.798806348
4280,RTHU,tmin,0.002374057,0.002652873,0.370840339
4280,RTHU,deltaProp,0.000501449,0.001881592,0.78985205
4280,RTHU,tmax:deltaED,-0.00256973,0.002901687,0.375833833
4280,RTHU,deltaED:tmin,0.003042211,0.003175442,0.338040976
6540,BTBW,tmax,-0.007129553,0.00613471,0.245167932
6540,BTBW,deltaED,0.003514159,0.006015618,0.559104237
6540,BTBW,tmin,0.001352491,0.007074305,0.848381787
6540,BTBW,deltaProp,0.001923749,0.006828327,0.778150029
6540,BTBW,tmax:deltaED,-9.58E-05,0.005498824,0.9861011
6540,BTBW,deltaED:tmin,-0.00032416,0.005870835,0.955966951
4060,RHWO,tmax,-0.001361856,0.005379739,0.80015583
4060,RHWO,deltaED,0.006326693,0.003810423,0.096841029
4060,RHWO,tmin,0.005466182,0.004700997,0.244922452
4060,RHWO,deltaProp,-0.007852111,0.002962177,0.008030368
4060,RHWO,tmax:deltaED,-0.002998388,0.006411295,0.640018632
4060,RHWO,deltaED:tmin,0.002982385,0.005237081,0.569034072
3870,YBCU,tmax,3.11E-05,0.002363566,0.989506164
3870,YBCU,deltaED,0.002072334,0.002069574,0.316665574
3870,YBCU,tmin,0.004649441,0.002446091,0.0573329
3870,YBCU,deltaProp,0.003553237,0.001689132,0.035414492
3870,YBCU,tmax:deltaED,-0.001555333,0.002743045,0.57070762
3870,YBCU,deltaED:tmin,-0.000788165,0.002952407,0.78950259
2890,NOBO,tmax,0.002631452,0.004556356,0.563578614
2890,NOBO,deltaED,0.00516487,0.003529598,0.143384572
2890,NOBO,tmin,0.001029788,0.004166141,0.804768715
2890,NOBO,deltaProp,-0.001908872,0.002998841,0.524426722
2890,NOBO,tmax:deltaED,0.003648753,0.005125531,0.476540254
2890,NOBO,deltaED:tmin,-0.002519492,0.004868431,0.604795819
4650,ACFL,tmax,0.007581253,0.003239323,0.019264013
4650,ACFL,deltaED,0.002545605,0.003048864,0.403753906
4650,ACFL,tmin,0.001985933,0.003551512,0.576039196
4650,ACFL,deltaProp,0.005872254,0.002526846,0.020128381
4650,ACFL,tmax:deltaED,0.005185566,0.003632768,0.153452424
4650,ACFL,deltaED:tmin,0.000451591,0.00390018,0.907821129
6100,SUTA,tmax,0.006645492,0.003796998,0.080084472
6100,SUTA,deltaED,-0.008498531,0.003001527,0.004634438
6100,SUTA,tmin,-0.002550301,0.003529763,0.46997886
6100,SUTA,deltaProp,0.004325634,0.002263729,0.056024591
6100,SUTA,tmax:deltaED,-0.01030589,0.004433093,0.020084627
6100,SUTA,deltaED:tmin,-0.000133697,0.004312295,0.975266573
7360,CACH,tmax,0.00157052,0.003006519,0.601411776
7360,CACH,deltaED,0.00030533,0.002599732,0.906506159
7360,CACH,tmin,0.001865102,0.003109238,0.548600813
7360,CACH,deltaProp,0.001284157,0.002097738,0.540430082
7360,CACH,tmax:deltaED,0.001972169,0.003342811,0.55520863
7360,CACH,deltaED:tmin,-0.008722267,0.003391172,0.010109811
6480,NOPA,tmax,0.003825968,0.003382684,0.258036231
6480,NOPA,deltaED,0.003376755,0.003555224,0.342213351
6480,NOPA,tmin,-0.012319024,0.003701476,0.000874286
6480,NOPA,deltaProp,0.004104259,0.002498778,0.100485128
6480,NOPA,tmax:deltaED,-0.003200858,0.003838106,0.404298971
6480,NOPA,deltaED:tmin,0.00386635,0.0041753,0.354443246
6770,KEWA,tmax,0.008291341,0.004643015,0.074137086
6770,KEWA,deltaED,0.000877308,0.004743266,0.853261421
6770,KEWA,tmin,-0.005994542,0.00529313,0.257418497
6770,KEWA,deltaProp,0.002065613,0.003263306,0.52674555
6770,KEWA,tmax:deltaED,0.000797452,0.004966641,0.872438591
