"aou","SPEC","nObs","r2","Estimate","std.error","z.value","p.value","term","sig"
4520,"GCFL",541,0.148566229069066,-0.00734491590026978,0.00217282602579878,-3.38035158501455,0.000723931605997263,"deltaED","p < 0.05"
4520,"GCFL",541,0.148566229069066,-0.000988456849960105,0.00269647961676492,-0.366573084333565,0.713937488217439,"tmin","p > 0.05"
4520,"GCFL",541,0.148566229069066,-0.00498114435993644,0.00157173810375083,-3.16919488561698,0.00152861860330766,"deltaProp","p < 0.05"
4520,"GCFL",541,0.148566229069066,-0.00171918455351005,0.00303590531990848,-0.56628398199252,0.57120074752868,"tmax:deltaED","p > 0.05"
4520,"GCFL",541,0.148566229069066,0.00272389300646164,0.0026285926940455,1.03625526032695,0.300083072424455,"deltaED:tmin","p > 0.05"
7180,"CARW",393,0.0639335414561503,-0.00197549806022773,0.00339292505709298,-0.582240405250895,0.560404760820355,"tmax","p > 0.05"
7180,"CARW",393,0.0639335414561503,-0.00148560315209714,0.00246943019571666,-0.601597548565653,0.547442061082705,"deltaED","p > 0.05"
7180,"CARW",393,0.0639335414561503,0.00583418772366007,0.0031421827242671,1.85673088920087,0.0633494505327754,"tmin","p > 0.05"
7180,"CARW",393,0.0639335414561503,9.86972611299618e-05,0.00171789836904353,0.0574523283265664,0.954184879827343,"deltaProp","p > 0.05"
7180,"CARW",393,0.0639335414561503,0.000594630708788391,0.00362405929120504,0.164078636966966,0.869669239111064,"tmax:deltaED","p > 0.05"
7180,"CARW",393,0.0639335414561503,-0.00115818716084098,0.00286603624457331,-0.404107646242767,0.686133562492931,"deltaED:tmin","p > 0.05"
6730,"PRAW",188,0.0661279687105371,0.0111177618989225,0.00634025682818456,1.75351917125822,0.0795129317088425,"tmax","p > 0.05"
6730,"PRAW",188,0.0661279687105371,0.00157799456333981,0.00446972881265561,0.353040336333576,0.724058201015565,"deltaED","p > 0.05"
6730,"PRAW",188,0.0661279687105371,-0.00998672736324213,0.00547997626357635,-1.82240339791628,0.06839379939344,"tmin","p > 0.05"
6730,"PRAW",188,0.0661279687105371,-0.000163948832944109,0.00335281540258999,-0.0488988546215404,0.960999901651607,"deltaProp","p > 0.05"
6730,"PRAW",188,0.0661279687105371,-0.00601808444462282,0.00640276211255656,-0.939920043698118,0.347258575210972,"tmax:deltaED","p > 0.05"
6730,"PRAW",188,0.0661279687105371,-0.00539950103668558,0.00500503722570326,-1.07881336205784,0.28067093697942,"deltaED:tmin","p > 0.05"
4120,"NOFL",519,0.125415153922286,0.00188353619272244,0.00236303167932306,0.797084613466554,0.425401891787378,"tmax","p > 0.05"
4120,"NOFL",519,0.125415153922286,0.00818131253026998,0.00233383295363716,3.50552618494817,0.000455705673171103,"deltaED","p < 0.05"
4120,"NOFL",519,0.125415153922286,-0.00814766523835366,0.00267923978620753,-3.04103622240049,0.00235765465651427,"tmin","p < 0.05"
4120,"NOFL",519,0.125415153922286,-0.00164236368619035,0.00176808076065784,-0.928896305381029,0.352942827886038,"deltaProp","p > 0.05"
4120,"NOFL",519,0.125415153922286,0.000629847515474448,0.00287727369428493,0.218904276199203,0.826724615329301,"tmax:deltaED","p > 0.05"
4120,"NOFL",519,0.125415153922286,-0.000870288962081628,0.00266768361515411,-0.326233949610008,0.744247357160313,"deltaED:tmin","p > 0.05"
6280,"YTVI",301,0.0430702128157629,-0.00154795406625153,0.00382267173029592,-0.404940359901556,0.685521350494754,"tmax","p > 0.05"
6280,"YTVI",301,0.0430702128157629,0.000678474729768441,0.00276402192263317,0.245466479195681,0.806095260048263,"deltaED","p > 0.05"
6280,"YTVI",301,0.0430702128157629,-0.00567884510263172,0.00376263738102172,-1.50927249361714,0.131229160983703,"tmin","p > 0.05"
6280,"YTVI",301,0.0430702128157629,0.00275055780658236,0.00197240253209456,1.3945215349432,0.163160171106439,"deltaProp","p > 0.05"
6280,"YTVI",301,0.0430702128157629,-0.00749604381305684,0.00418329273109491,-1.79190037487405,0.0731489259261455,"tmax:deltaED","p > 0.05"
6280,"YTVI",301,0.0430702128157629,0.00800348003987412,0.00366531718534096,2.18357092583506,0.0289937919212349,"deltaED:tmin","p < 0.05"
6740,"OVEN",443,0.0458673495616295,0.00436501044547833,0.00257137330805396,1.69754054450453,0.0895945125612083,"tmax","p > 0.05"
6740,"OVEN",443,0.0458673495616295,-0.00133890608600357,0.00262408146502135,-0.510238002840617,0.609884730991532,"deltaED","p > 0.05"
6740,"OVEN",443,0.0458673495616295,-0.003971446160499,0.00263779408618879,-1.50559370092346,0.132171506500917,"tmin","p > 0.05"
6740,"OVEN",443,0.0458673495616295,0.000233980985693336,0.002153842113648,0.108634232848683,0.913492607539455,"deltaProp","p > 0.05"
