"aou","param","Estimate","Std..Error","Adjusted.SE","z.value","Pr...z.."
7180,"tmax",-0.474276731338961,1.17577487483388,1.17705875566459,0.402933777992395,0.6869969
7310,"(Intercept)",0.102329056698359,0.0447814587447464,0.0448411445650801,2.28203489654114,0.0224873
7310,"ppt",-0.0112892970440352,0.00366399994076845,0.00366888593333821,3.07703680331196,0.0020907
7310,"tmax",-4.67637493948339,1.03193926528554,1.03331554695794,4.52560203245808,6e-06
7310,"tmin",2.79319732461356,0.964677753015579,0.965964223360166,2.89161571108426,0.0038327
7310,"dEDz",-0.00176354075979586,0.010497028198129,0.0105100089295208,0.167796314125136,0.8667435
7360,"(Intercept)",-0.00838390273817683,0.0282570584855858,0.0283111517610349,0.296134286903711,0.7671275
7360,"dEDz",0.00516754613908638,0.0134935601466956,0.0135119908554964,0.382441506536716,0.7021339
7360,"tmin",0.0885115141935597,0.541039702880084,0.542042291603904,0.163292635214226,0.870288
7360,"ppt",0.000107878143667913,0.00163251641057727,0.00163574907270275,0.0659503009771947,0.9474174
7360,"tmax",-0.0019639533359194,0.496260098733021,0.497259148918026,0.0039495569668104,0.9968487
7510,"(Intercept)",0.0442198191689136,0.0289186053111038,0.0289651586764055,1.52665551267752,0.1268467
7510,"tmax",-0.549779421006281,0.910056858450101,0.910941532494927,0.603528768197143,0.546157
7510,"dEDz",0.0102977117174124,0.0167621915469866,0.016778381929111,0.613748796571713,0.5393813
7510,"ppt",0.000895261594200241,0.00243377696718689,0.00243694185412684,0.367370929546046,0.7133424
7510,"tmin",-0.0717464309783917,0.50211363789896,0.502987601445767,0.142640555695939,0.8865741
7550,"(Intercept)",-0.0557835209818063,0.0379505952370221,0.0380029532435392,1.46787331564264,0.1421386
7550,"tmax",1.68433325506988,0.922984703677692,0.923930220102803,1.82300916067283,0.068302
7550,"tmin",-3.80982902276699,0.760301330026671,0.761424198460147,5.00355653323302,6e-07
7550,"dEDz",-0.00591826010859896,0.0123089466678229,0.0123195352456586,0.480396377832884,0.6309456
7550,"ppt",0.000214567576069032,0.0015423360644112,0.00154447413421306,0.138925975719469,0.8895086
7610,"(Intercept)",0.118104725363976,0.0755203869792258,0.0755707070921508,1.56283737321604,0.1180909
