"aou","param","importance"
5880,"tmin",0.263196992117216
5880,"dEDz",0.21456261786526
4620,"tmin",1
4620,"ppt",0.749690827992693
4620,"tmax",0.267952870782196
4620,"dEDz",0.260541151899856
4860,"ppt",1
4860,"tmax",0.492672993763151
4860,"dEDz",0.275997944069767
4860,"tmin",0.265102321719277
5810,"ppt",1
5810,"tmax",1
5810,"tmin",0.360644290422043
5810,"dEDz",0.270122360569139
5671,"dEDz",0.477504105110263
5671,"tmin",0.399199883068137
5671,"tmax",0.252150025405299
5671,"ppt",0.243722161292543
4590,"tmin",0.729913560434883
4590,"dEDz",0.550947210318337
4590,"ppt",0.413122690296335
4590,"tmax",0.242289903442705
6560,"dEDz",0.519605963471421
6560,"tmax",0.383478967018411
6560,"tmin",0.272993143812217
6560,"ppt",0.272230038953227
6270,"tmin",0.76837478349408
6270,"tmax",0.621429647263346
6270,"dEDz",0.508187134425071
6270,"ppt",0.451533701378139
5400,"tmax",0.43599758659279
5400,"tmin",0.362693273971697
5400,"dEDz",0.265120556533651
5400,"ppt",0.257717164886606
5210,"tmin",0.340848491338276
5210,"dEDz",0.31424657800001
5210,"ppt",0.306845910756591
5210,"tmax",0.234238585639502
6070,"dEDz",0.974488546524794
6070,"ppt",0.536082378696858
6070,"tmax",0.497247801026304
6070,"tmin",0.247910648377243
6450,"tmin",0.824899970024253
6450,"dEDz",0.318963747194525
6450,"tmax",0.271837838504535
6450,"ppt",0.216146075775372
4690,"dEDz",0.490302705110721
4690,"ppt",0.315921302848668
4690,"tmax",0.237419316849256
4690,"tmin",0.234268775788383
5180,"ppt",1
5180,"dEDz",0.58701330539954
5180,"tmin",0.229824145764867
5180,"tmax",0.21014526861094
5900,"tmax",0.774066510284391
5900,"tmin",0.267720593070865
5900,"dEDz",0.261994238097607
5900,"ppt",0.240446694301442
7280,"dEDz",0.844023422251947
7280,"tmin",0.696203506115477
7280,"tmax",0.323300410204375
7280,"ppt",0.286886233753511
5600,"ppt",0.441003984452055
5600,"tmax",0.286595099377915
5600,"dEDz",0.266250089421704
5600,"tmin",0.25663021385911
5620,"ppt",0.29489047702285
5620,"tmin",0.250909991951157
5620,"tmax",0.234616187135144
5620,"dEDz",0.229535214347529
7380,"tmin",1
7380,"tmax",0.655802466425382
7380,"ppt",0.289533932386065
7380,"dEDz",0.25731730185043
6291,"tmax",0.772715793820351
6291,"dEDz",0.300561870884639
6291,"tmin",0.282677740790015
6291,"ppt",0.213059717901808
3930,"tmax",0.598611298720818
3930,"ppt",0.338343957461535
3930,"tmin",0.253343450023931
3930,"dEDz",0.24770704147348
7260,"dEDz",0.517093782024296
7260,"ppt",0.343358034640757
7260,"tmin",0.26652050767309
7260,"tmax",0.257571058652083
7210,"ppt",0.553591638452751
7210,"dEDz",0.353170739112575
7210,"tmin",0.347282158722953
7210,"tmax",0.274507983524096
7680,"ppt",0.701096366282927
7680,"tmin",0.479236289624665
7680,"dEDz",0.234995651406334
7680,"tmax",0.22293904788771
7540,"dEDz",0.62389764238399
