"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2"
7260,"BRCR",81,-0.00121506042444674,0.00234188794434944,-0.518837985984114,0.603873726021254,"tmin:mean_tmin",0.0151760326160634
3370,"RTHA",308,0.0188623480691141,0.023323639380826,0.808722333643204,0.418674878796822,"(Intercept)",0.00160355417901037
3370,"RTHA",308,-0.00553827249384563,0.0131271602695188,-0.421894178187608,0.673102259625657,"tmax",0.00160355417901037
3370,"RTHA",308,-0.000923991166186964,0.0014646356693755,-0.630867584005341,0.528127108724516,"mean_tmax",0.00160355417901037
3370,"RTHA",308,-0.00407247190505376,0.00364215145985576,-1.11815006870007,0.26350290544278,"tmin",0.00160355417901037
3370,"RTHA",308,0.000438454828442563,0.00121194333281612,0.361778324588618,0.717517691015756,"mean_tmin",0.00160355417901037
3370,"RTHA",308,9.12007205291315e-05,0.000548779277111191,0.166188346267771,0.868008730250672,"tmax:mean_tmax",0.00160355417901037
3370,"RTHA",308,0.000680686746048415,0.000363844373053894,1.87081839506032,0.0613702570320735,"tmin:mean_tmin",0.00160355417901037
3940,"DOWO",576,0.00283840092782504,0.0274301396426331,0.103477450891773,0.917584044993989,"(Intercept)",0.000897733248579002
3940,"DOWO",576,0.0295334948794085,0.0144714491377207,2.04081115846427,0.0412696010241818,"tmax",0.000897733248579002
3940,"DOWO",576,6.76277535051933e-05,0.00197688970686343,0.0342091687110318,0.972710355247486,"mean_tmax",0.000897733248579002
3940,"DOWO",576,0.00369600616829192,0.00577172484520508,0.640364235547787,0.521935828525301,"tmin",0.000897733248579002
3940,"DOWO",576,-0.000207382707854283,0.00185048194603355,-0.112069565606301,0.910768248503093,"mean_tmin",0.000897733248579002
3940,"DOWO",576,-0.00114226938681303,0.000574507905733638,-1.98825703774148,0.0467832696614814,"tmax:mean_tmax",0.000897733248579002
3940,"DOWO",576,9.99528924648403e-06,0.000438470066666476,0.0227958303344957,0.981813134072849,"tmin:mean_tmin",0.000897733248579002
7210,"HOWR",430,-0.0406069503983693,0.0303799137674565,-1.33663810599318,0.181340794212495,"(Intercept)",0.00100854935638728
7210,"HOWR",430,0.0136760836914873,0.0171103615019033,0.799286659721711,0.424124212388539,"tmax",0.00100854935638728
7210,"HOWR",430,0.00110225882099489,0.00182915029326144,0.602607027457282,0.546770144254388,"mean_tmax",0.00100854935638728
7210,"HOWR",430,0.00419368627710131,0.00574741832734627,0.72966435332325,0.465595375384052,"tmin",0.00100854935638728
7210,"HOWR",430,0.000991946035790553,0.00156005298596943,0.635841246875437,0.524879900280392,"mean_tmin",0.00100854935638728
7210,"HOWR",430,-0.000576297247381737,0.000731297044182547,-0.788048101610924,0.430668570349053,"tmax:mean_tmax",0.00100854935638728
7210,"HOWR",430,-0.000138141294188942,0.000608831723590116,-0.226895690280987,0.820504853325752,"tmin:mean_tmin",0.00100854935638728
6570,"MAWA",120,-0.0348376497854536,0.0654548012697005,-0.532239791576301,0.594559926569978,"(Intercept)",0.00207750364125237
6570,"MAWA",120,0.00433764181219951,0.0330278987177774,0.131332660586874,0.895512156131418,"tmax",0.00207750364125237
6570,"MAWA",120,-0.00235410008973305,0.00464468921742714,-0.506836944202925,0.612269231939303,"mean_tmax",0.00207750364125237
6570,"MAWA",120,0.0129352085760321,0.0246761709861126,0.524198368673643,0.60014057542525,"tmin",0.00207750364125237
6570,"MAWA",120,0.00964176723038748,0.00503208089021332,1.91605966611931,0.0553575014669561,"mean_tmin",0.00207750364125237
6570,"MAWA",120,0.000148660935344509,0.00160826906101757,0.0924353635519478,0.926352143637551,"tmax:mean_tmax",0.00207750364125237
6570,"MAWA",120,-0.00326835726813205,0.00279070103917927,-1.17115994233953,0.241534493337806,"tmin:mean_tmin",0.00207750364125237
6290,"BHVI",181,0.0907937770036649,0.0569541939951276,1.59415436572471,0.110901464698548,"(Intercept)",0.0024778686874749
6290,"BHVI",181,-0.0198920892630735,0.023806028018374,-0.835590433134008,0.403385352613949,"tmax",0.0024778686874749
6290,"BHVI",181,-0.00784566024403237,0.00400166789613677,-1.96059754274127,0.0499259892593369,"mean_tmax",0.0024778686874749
6290,"BHVI",181,0.0114058653304087,0.0132717306596253,0.859410548852317,0.390114051840216,"tmin",0.0024778686874749
6290,"BHVI",181,0.00872520073705233,0.00377646583618698,2.31041431738781,0.0208652271885028,"mean_tmin",0.0024778686874749
6290,"BHVI",181,0.00104430861920467,0.00110007826855106,0.949303925965334,0.342466057380761,"tmax:mean_tmax",0.0024778686874749
6290,"BHVI",181,-0.00101535002903541,0.00128840090588991,-0.788069943442098,0.430655795004224,"tmin:mean_tmin",0.0024778686874749
7270,"WBNU",470,0.0585828820244865,0.0264389885244401,2.21577621890992,0.026706831916584,"(Intercept)",0.000427165604317659
7270,"WBNU",470,0.000532075961914999,0.0212432527310552,0.0250468216261988,0.98001761705137,"tmax",0.000427165604317659
7270,"WBNU",470,-0.0041431525407933,0.0016512150722495,-2.50915378040303,0.012102078595039,"mean_tmax",0.000427165604317659
7270,"WBNU",470,-0.000853284893160319,0.00700403248290386,-0.121827660743022,0.903035507010041,"tmin",0.000427165604317659
7270,"WBNU",470,0.00429966357945992,0.00145333444672198,2.95848184783473,0.00309158449260694,"mean_tmin",0.000427165604317659
7270,"WBNU",470,-7.69786508269807e-05,0.000841624974638688,-0.0914643138531243,0.927123660765267,"tmax:mean_tmax",0.000427165604317659
7270,"WBNU",470,0.000624293234989378,0.000575164783074093,1.08541630739752,0.277737312995748,"tmin:mean_tmin",0.000427165604317659
