"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2","sig"
6080,"SCTA",373,-0.00298414015461288,0.00256954908875247,-1.16134778964729,0.245500492188055,"deltaProp:tmin",0.000934048994714165,"p > 0.05"
7550,"WOTH",518,0.0043815734790973,0.00290106110655186,1.51033477688622,0.130958022121321,"tmax",0.000444695202775902,"p > 0.05"
7550,"WOTH",518,0.00573295386415838,0.00198245541489762,2.8918450428074,0.00382986790648943,"deltaProp",0.000444695202775902,"p < 0.05"
7550,"WOTH",518,-0.00115399913800401,0.00301267650587293,-0.383047810063376,0.701684315215498,"tmin",0.000444695202775902,"p > 0.05"
7550,"WOTH",518,-0.00303583285658154,0.00195674742879617,-1.55146893866075,0.120789345482052,"deltaED",0.000444695202775902,"p > 0.05"
7550,"WOTH",518,-0.00186298587953266,0.00255326240769767,-0.729649202493275,0.465604638722015,"tmax:deltaProp",0.000444695202775902,"p > 0.05"
7550,"WOTH",518,-0.00232147462449955,0.00253831337533222,-0.914573687811776,0.360415477192439,"deltaProp:tmin",0.000444695202775902,"p > 0.05"
5930,"NOCA",537,-0.00279783802498834,0.00164002025598845,-1.70597772483125,0.0880122269944177,"tmax",0.000557768618612675,"p > 0.05"
5930,"NOCA",537,-4.00960833219909e-06,0.00112134796512514,-0.00357570393571063,0.997147007115261,"deltaProp",0.000557768618612675,"p > 0.05"
5930,"NOCA",537,-0.00202494228931577,0.00183562154756766,-1.10313713194257,0.269967617786451,"tmin",0.000557768618612675,"p > 0.05"
5930,"NOCA",537,0.00255268628778055,0.00114672838393412,2.2260600884605,0.0260101568337072,"deltaED",0.000557768618612675,"p < 0.05"
5930,"NOCA",537,0.00101043200011922,0.00158182247267954,0.638777117894645,0.522967936031629,"tmax:deltaProp",0.000557768618612675,"p > 0.05"
5930,"NOCA",537,-0.00268973480984899,0.00149210719202236,-1.80264181034032,0.0714444862606476,"deltaProp:tmin",0.000557768618612675,"p > 0.05"
4520,"GCFL",541,-0.00468890261232472,0.00234901265703886,-1.99611636756164,0.0459212578471977,"tmax",0.000278186764833266,"p < 0.05"
4520,"GCFL",541,-0.00515888259955088,0.00161035749707729,-3.20356356207486,0.00135738073320257,"deltaProp",0.000278186764833266,"p < 0.05"
4520,"GCFL",541,0.00112425799307498,0.00249081782777026,0.451360986958008,0.651729396338965,"tmin",0.000278186764833266,"p > 0.05"
4520,"GCFL",541,-0.0064926380935855,0.00171433123428985,-3.78727165656235,0.000152310548819257,"deltaED",0.000278186764833266,"p < 0.05"
4520,"GCFL",541,-0.00411221364537161,0.00218616159006463,-1.88101998683914,0.0599692000622312,"tmax:deltaProp",0.000278186764833266,"p > 0.05"
4520,"GCFL",541,0.00274793953380207,0.00212506918299944,1.29310591663819,0.195974429083503,"deltaProp:tmin",0.000278186764833266,"p > 0.05"
7180,"CARW",393,-0.00239486516211577,0.0029673404992412,-0.807074605266292,0.419623501851118,"tmax",0.00139716319767336,"p > 0.05"
7180,"CARW",393,0.000807189814897731,0.00175838339515397,0.459052227814658,0.646196661186554,"deltaProp",0.00139716319767336,"p > 0.05"
7180,"CARW",393,0.00383743183754126,0.00304740540684263,1.25924559591734,0.207941637085456,"tmin",0.00139716319767336,"p > 0.05"
7180,"CARW",393,-0.00182390601434336,0.00201505995567244,-0.905137343039857,0.365392630874865,"deltaED",0.00139716319767336,"p > 0.05"
7180,"CARW",393,-0.00319965960179407,0.0024243782436455,-1.31978564408448,0.186906595997245,"tmax:deltaProp",0.00139716319767336,"p > 0.05"
7180,"CARW",393,-0.00257510381310386,0.00237897158194459,-1.08244412528835,0.2790552303843,"deltaProp:tmin",0.00139716319767336,"p > 0.05"
6730,"PRAW",188,0.00734742471767301,0.00575446784289975,1.27682088392218,0.201665490775852,"tmax",0.00241537921354396,"p > 0.05"
