"aou","stateroute","dist_from_centroid","bearing"
6870,2019,1780153.97191921,151.83046733273
6870,2022,1920328.00611658,150.623160851973
6870,2023,1874466.53889023,150.966626040461
6870,2025,1917582.98739045,148.990326541812
6870,2027,1998231.61537377,146.567117830956
6870,2034,2044516.06222041,150.345673477451
6870,2038,2039121.0860109,151.770940120912
6870,2046,1761034.90421868,145.890002307795
6870,2047,1827323.79709581,151.319505622904
6870,2048,1863767.29397381,152.742600800852
6870,2049,1863410.14422095,151.609342193118
6870,2051,1964579.53738194,146.588570675783
6870,2052,1999522.93421943,155.053600092431
6870,2053,1975969.80957619,152.997304429787
6870,2055,2058797.5113328,147.686100735753
6870,2072,1678954.88476659,146.254465881094
6870,2140,2117467.3355045,155.424620286126
6870,2142,2120972.65973283,154.026964636883
6870,2201,1700958.29940595,150.366097584077
6870,7005,1654389.33052783,167.98680212443
6870,7006,1619944.94543713,168.446423425606
6870,7007,1609835.95129531,169.916810636023
6870,7010,1620608.24371441,161.102848374703
6870,7013,1586005.87401514,166.812630763315
6870,7028,1358632.84380638,165.108687244688
6870,18001,2117455.35751612,101.153459838107
6870,18003,2057512.11581011,100.772393252975
6870,18004,2099235.67314913,101.145379790278
6870,18007,2081528.65059992,100.145975238242
6870,18009,1994272.46892503,102.366345768179
6870,18010,2012749.35253858,103.870756177883
6870,18014,2059328.44630715,101.23656446719
6870,18015,2039299.87977102,101.483241461331
6870,18102,2025546.06444231,101.137405081647
6870,18116,2015959.5922149,100.767231177902
6870,21003,2005818.5339722,112.117677750793
6870,21010,2037068.85602343,112.282142641237
6870,21105,1971453.2276141,111.20037018438
6870,27013,2082203.49770368,139.347218527564
6870,27016,1982116.60677998,143.05421135528
6870,27019,1997722.3532582,136.92364833346
6870,27030,1878670.48950447,138.100763827956
6870,27034,2124774.19532249,136.628767773222
6870,27040,1827433.10774596,138.871913385572
6870,27123,1896597.71285428,142.887939445237
6870,33003,1402893.47287595,-86.5065048394534
6870,33111,1507954.20182137,-98.3583695580533
6870,34002,893858.979194566,133.838257034618
6870,34003,915145.739820967,133.225515265615
6870,34006,985169.513697115,129.176128376982
6870,34008,908317.630617203,140.476542447023
6870,34010,942019.775420446,139.111892625333
6870,34014,975796.541303536,130.529200913403
6870,34016,987821.788536421,133.679641086043
6870,34019,935421.793889658,146.70209721228
6870,34023,969253.125252335,141.845014356969
6870,34026,979161.905199759,140.805047091803
6870,34034,1108979.87660214,134.117519766495
6870,34037,1106796.1317849,147.085661035603
6870,34046,1204054.88070308,140.109439802168
6870,34050,1208614.51763165,148.038331499458
6870,34052,1200745.71847585,147.097156197808
6870,34053,1246955.82323592,146.5487387304
6870,34054,1302490.44503561,143.14503460319
6870,34058,1269966.64998189,139.972208333723
6870,34059,1360028.46206449,148.832414221623
6870,34061,1362784.30809955,147.667481044357
6870,34063,1404323.9517453,146.78673561055
6870,34067,906996.667325335,142.417858560458
6870,34069,1005673.26663841,134.639004626473
6870,34072,1056985.03464069,143.791519789673
6870,34076,1231560.85453603,140.138283682004
6870,34077,1244999.42380755,138.833606855276
6870,34078,1233527.07830619,148.099633169785
6870,34080,1361519.33389266,149.025978625514
6870,35002,1081029.02871663,129.740088068905
6870,35004,1119171.23330347,128.134264592093
6870,35005,1158803.09632165,128.07762108338
6870,35009,1196913.34417927,122.028841078385
6870,35011,1166671.89320471,132.705403320453
6870,35012,1153879.73369157,130.913829303432
6870,35013,1199917.61264186,129.439697809369
6870,35014,1207239.2746267,132.530911695195
6870,35019,1194644.70198269,127.623388496549
6870,35023,1318759.11753726,134.863884705825
6870,35026,1283537.1301131,135.404637660124
6870,35029,1334538.61627901,131.057242355088
6870,35030,1307884.47458766,131.711274576908
6870,35031,1358835.80137929,129.685694785809
6870,35037,1340767.89005951,134.887889038367
6870,36002,885050.648176032,156.005505699991
6870,36003,852028.335391732,156.884176022003
6870,36007,852853.033785464,144.971639271144
6870,36009,784655.373262208,149.583108963375
6870,36010,802717.123376561,149.593372563132
6870,36011,800915.866556994,155.079959976886
6870,36013,744692.738160224,160.441020854791
6870,36017,838886.782209733,139.874556505086
6870,36021,736498.205791924,148.938031940973
6870,36025,641307.288145861,158.685187585773
6870,36108,838478.684461277,144.253236941574
6870,39001,1677734.10764356,134.119912224156
6870,39002,1407054.68459979,148.248243699028
6870,39031,1466606.54246507,137.874771379735
6870,42016,1935226.69810186,168.969824374205
6870,42018,1844295.66216042,162.835324948115
6870,42020,1882825.87358417,165.674031339238
6870,42026,1768536.25412394,165.957491318452
6870,42027,1790079.54781003,170.289218598597
6870,42032,1981264.25040397,161.740703471319
6870,42033,2013781.88584857,164.195043749525
6870,42057,1867164.50769062,163.467599762209
6870,42061,1713663.15575878,165.410078593146
6870,42221,1866478.98594037,168.134312271906
6870,44001,2120446.80321005,94.5610772708338
6870,44002,2122613.42540761,93.091749070399
6870,44003,2119253.75068143,93.7577197616193
6870,44004,2123043.56507084,95.1072767765581
6870,44005,2168966.09689374,91.5798973182216
6870,44006,2029228.84458641,89.9560364345934
6870,44007,2040102.91530521,90.8575623342586
6870,44014,2138216.91322399,91.8521029351831
6870,44018,2170740.98916873,89.9466489480574
6870,44019,2140523.90297498,88.6788734747483
6870,44021,2176256.50481601,89.6074248471617
6870,44022,2181292.68820352,88.788858219152
6870,44031,2075531.53479854,88.4880208902453
6870,44032,2079350.30486574,88.9631278740617
6870,44033,2168467.90057834,88.2133407482984
6870,44035,2074149.19823379,86.4343129430586
6870,44036,2114272.67136106,87.5912151980255
6870,44037,2138885.67805648,88.586950819211
6870,44041,2186153.72701066,86.2987702517557
6870,44050,2143000.91491004,85.0963538498297
6870,44052,2213697.75051081,83.4607764755726
6870,44058,2103775.68097105,83.472936934153
