"stateroute","year","tmax","tmin"
49914,1990,20.7824691136678,7.62888889548219
49915,1990,20.8681158259295,7.68275360784669
51031,1990,30.831666692098,18.9393332958221
51032,1990,30.9878665669759,18.1392000452677
51033,1990,31.3302777608236,19.0563887490167
51034,1990,31.0370666249593,19.7257333374023
51035,1990,31.2044929006825,19.2476811754531
51037,1990,31.3809091105606,18.9268180818269
51038,1990,30.2084721194373,18.0356944666968
51040,1990,30.8449276357457,19.4473912335824
51041,1990,30.015942145085,17.4513043113377
51042,1990,29.5001388390859,17.0658333433999
51043,1990,31.3713043323462,18.9328986319943
51901,1990,30.9982667541504,18.2173333867391
52064,1990,26.9445833365122,15.5701388253106
52112,1990,27.2319046656291,15.3669048490978
52112,1990,27.3314812271683,15.4470370963768
52133,1990,26.1089743589744,15.3830768878643
53955,1990,20.1428332964579,3.76016666833311
54103,1990,27.0462121674509,14.8522726983735
54124,1990,26.1383999633789,13.1876000213623
54130,1990,25.1926190512521,8.04333333032472
55143,1990,22.3960714567275,6.3324999983112
59114,1990,24.6208000437419,12.535733311971
60116,1990,26.521111019074,9.44142855916705
