"ID","COUNT","Red","Green","Blue","Opacity","X2006.Color_Red","X2006.Color_Green","X2006.Color_Blue","X2011.Color_Red","X2011.Color_Green","X2011.Color_Blue","Change.Color_Red","Change.Color_Green","Change.Color_Blue","X2006.Code","X2011.Code","X2006.2011.Code","X2006.Class","X2011.Class","X2006.2011.Class"
41,0,170,0,0,255,0.819607843137255,0.866666666666667,0.976470588235294,0.666666666666667,0,0,0.666666666666667,0,0,12,24,1224,"Perennial Ice/Snow","Developed, High Intensity","Perennial Ice/Snow to Developed, High Intensity"
43,0,104,170,99,255,0.819607843137255,0.866666666666667,0.976470588235294,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,12,41,1241,"Perennial Ice/Snow","Deciduous Forest","Perennial Ice/Snow to Deciduous Forest"
44,0,28,99,48,255,0.819607843137255,0.866666666666667,0.976470588235294,0.109803921568627,0.388235294117647,0.188235294117647,0.109803921568627,0.388235294117647,0.188235294117647,12,42,1242,"Perennial Ice/Snow","Evergreen Forest","Perennial Ice/Snow to Evergreen Forest"
45,0,181,201,142,255,0.819607843137255,0.866666666666667,0.976470588235294,0.709803921568627,0.788235294117647,0.556862745098039,0.709803921568627,0.788235294117647,0.556862745098039,12,43,1243,"Perennial Ice/Snow","Mixed Forest","Perennial Ice/Snow to Mixed Forest"
46,7,204,186,124,255,0.819607843137255,0.866666666666667,0.976470588235294,0.8,0.729411764705882,0.486274509803922,0.8,0.729411764705882,0.486274509803922,12,52,1252,"Perennial Ice/Snow","Shrub/Scrub","Perennial Ice/Snow to Shrub/Scrub"
47,0,226,226,193,255,0.819607843137255,0.866666666666667,0.976470588235294,0.886274509803922,0.886274509803922,0.756862745098039,0.886274509803922,0.886274509803922,0.756862745098039,12,71,1271,"Perennial Ice/Snow","Grassland/Herbaceous","Perennial Ice/Snow to Grassland/Herbaceous"
48,0,219,216,61,255,0.819607843137255,0.866666666666667,0.976470588235294,0.858823529411765,0.847058823529412,0.235294117647059,0.858823529411765,0.847058823529412,0.235294117647059,12,81,1281,"Perennial Ice/Snow","Pasture/Hay","Perennial Ice/Snow to Pasture/Hay"
49,0,170,112,40,255,0.819607843137255,0.866666666666667,0.976470588235294,0.666666666666667,0.43921568627451,0.156862745098039,0.666666666666667,0.43921568627451,0.156862745098039,12,82,1282,"Perennial Ice/Snow","Cultivated Crops","Perennial Ice/Snow to Cultivated Crops"
52,0,0,249,0,255,0.866666666666667,0.788235294117647,0.788235294117647,0,0.976470588235294,0,0,0.976470588235294,0,21,1,212,"Developed, Open Space","Unclassified","Developed, Open Space to Unclassified"
53,0,71,107,160,255,0.866666666666667,0.788235294117647,0.788235294117647,0.27843137254902,0.419607843137255,0.627450980392157,0.27843137254902,0.419607843137255,0.627450980392157,21,11,2111,"Developed, Open Space","Open Water","Developed, Open Space to Open Water"
54,0,209,221,249,255,0.866666666666667,0.788235294117647,0.788235294117647,0.819607843137255,0.866666666666667,0.976470588235294,0.819607843137255,0.866666666666667,0.976470588235294,21,12,2112,"Developed, Open Space","Perennial Ice/Snow","Developed, Open Space to Perennial Ice/Snow"
55,288864944,0,0,0,255,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,0,0,0,21,21,2121,"Developed, Open Space","Developed, Open Space","Developed, Open Space to Developed, Open Space"
56,408933,216,147,130,255,0.866666666666667,0.788235294117647,0.788235294117647,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,21,22,2122,"Developed, Open Space","Developed, Low Intensity","Developed, Open Space to Developed, Low Intensity"
57,1706553,237,0,0,255,0.866666666666667,0.788235294117647,0.788235294117647,0.929411764705882,0,0,0.929411764705882,0,0,21,23,2123,"Developed, Open Space","Developed, Medium Intensity","Developed, Open Space to Developed, Medium Intensity"
58,359392,170,0,0,255,0.866666666666667,0.788235294117647,0.788235294117647,0.666666666666667,0,0,0.666666666666667,0,0,21,24,2124,"Developed, Open Space","Developed, High Intensity","Developed, Open Space to Developed, High Intensity"
59,0,178,173,163,255,0.866666666666667,0.788235294117647,0.788235294117647,0.698039215686274,0.67843137254902,0.63921568627451,0.698039215686274,0.67843137254902,0.63921568627451,21,31,2131,"Developed, Open Space","Barren Land","Developed, Open Space to Barren Land"
60,0,104,170,99,255,0.866666666666667,0.788235294117647,0.788235294117647,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,21,41,2141,"Developed, Open Space","Deciduous Forest","Developed, Open Space to Deciduous Forest"
61,0,28,99,48,255,0.866666666666667,0.788235294117647,0.788235294117647,0.109803921568627,0.388235294117647,0.188235294117647,0.109803921568627,0.388235294117647,0.188235294117647,21,42,2142,"Developed, Open Space","Evergreen Forest","Developed, Open Space to Evergreen Forest"
62,0,181,201,142,255,0.866666666666667,0.788235294117647,0.788235294117647,0.709803921568627,0.788235294117647,0.556862745098039,0.709803921568627,0.788235294117647,0.556862745098039,21,43,2143,"Developed, Open Space","Mixed Forest","Developed, Open Space to Mixed Forest"
63,0,204,186,124,255,0.866666666666667,0.788235294117647,0.788235294117647,0.8,0.729411764705882,0.486274509803922,0.8,0.729411764705882,0.486274509803922,21,52,2152,"Developed, Open Space","Shrub/Scrub","Developed, Open Space to Shrub/Scrub"
64,0,226,226,193,255,0.866666666666667,0.788235294117647,0.788235294117647,0.886274509803922,0.886274509803922,0.756862745098039,0.886274509803922,0.886274509803922,0.756862745098039,21,71,2171,"Developed, Open Space","Grassland/Herbaceous","Developed, Open Space to Grassland/Herbaceous"
65,0,219,216,61,255,0.866666666666667,0.788235294117647,0.788235294117647,0.858823529411765,0.847058823529412,0.235294117647059,0.858823529411765,0.847058823529412,0.235294117647059,21,81,2181,"Developed, Open Space","Pasture/Hay","Developed, Open Space to Pasture/Hay"
66,0,170,112,40,255,0.866666666666667,0.788235294117647,0.788235294117647,0.666666666666667,0.43921568627451,0.156862745098039,0.666666666666667,0.43921568627451,0.156862745098039,21,82,2182,"Developed, Open Space","Cultivated Crops","Developed, Open Space to Cultivated Crops"
67,0,186,216,234,255,0.866666666666667,0.788235294117647,0.788235294117647,0.729411764705882,0.847058823529412,0.917647058823529,0.729411764705882,0.847058823529412,0.917647058823529,21,90,2190,"Developed, Open Space","Woody Wetlands","Developed, Open Space to Woody Wetlands"
68,0,112,163,186,255,0.866666666666667,0.788235294117647,0.788235294117647,0.43921568627451,0.63921568627451,0.729411764705882,0.43921568627451,0.63921568627451,0.729411764705882,21,95,2195,"Developed, Open Space","Emergent Herbaceous Wetlands","Developed, Open Space to Emergent Herbaceous Wetlands"
69,0,0,249,0,255,0.847058823529412,0.576470588235294,0.509803921568627,0,0.976470588235294,0,0,0.976470588235294,0,22,1,221,"Developed, Low Intensity","Unclassified","Developed, Low Intensity to Unclassified"
70,0,71,107,160,255,0.847058823529412,0.576470588235294,0.509803921568627,0.27843137254902,0.419607843137255,0.627450980392157,0.27843137254902,0.419607843137255,0.627450980392157,22,11,2211,"Developed, Low Intensity","Open Water","Developed, Low Intensity to Open Water"
71,0,209,221,249,255,0.847058823529412,0.576470588235294,0.509803921568627,0.819607843137255,0.866666666666667,0.976470588235294,0.819607843137255,0.866666666666667,0.976470588235294,22,12,2212,"Developed, Low Intensity","Perennial Ice/Snow","Developed, Low Intensity to Perennial Ice/Snow"
72,0,221,201,201,255,0.847058823529412,0.576470588235294,0.509803921568627,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,22,21,2221,"Developed, Low Intensity","Developed, Open Space","Developed, Low Intensity to Developed, Open Space"
